DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
True,0.01,25,1.0,1.5,5,0.8924,0.8947,0.8924,0.8911,1408.74,0.29,b
True,0.01,25,1.5,0.5,5,0.9604,0.9605,0.9604,0.9604,1412.33,5.06,b
True,0.01,25,1.5,1.0,5,0.9389,0.9391,0.9389,0.9387,1410.39,0.53,b
True,0.01,25,1.5,1.5,5,0.9200,0.9210,0.9200,0.9192,1413.50,0.29,b
False,0.01,50,N/A,N/A,N/A,0.9953,0.9953,0.9953,0.9953,182.45,Sem privacidade diferencial,b
True,0.01,50,0.5,0.5,5,0.9463,0.9466,0.9463,0.9461,711.14,6.95,b
True,0.01,50,0.5,0.5,10,0.9384,0.9391,0.9384,0.9381,713.14,6.95,b
True,0.01,50,0.5,1.0,5,0.9338,0.9345,0.9338,0.9334,709.95,0.78,b
True,0.01,50,0.5,1.0,10,0.9451,0.9455,0.9451,0.9449,711.55,0.78,b
True,0.01,50,0.5,1.5,5,0.8804,0.8842,0.8804,0.8755,711.70,0.42,b
True,0.01,50,0.5,1.5,10,0.9279,0.9293,0.9279,0.9274,711.74,0.42,b
True,0.01,50,1.0,0.5,5,0.9625,0.9625,0.9625,0.9624,712.17,6.95,b
True,0.01,50,1.0,0.5,10,0.9617,0.9617,0.9617,0.9616,712.95,6.95,b
True,0.01,50,1.0,1.0,5,0.9387,0.9390,0.9387,0.9386,711.68,0.78,b
True,0.01,50,1.0,1.0,10,0.9491,0.9492,0.9491,0.9490,713.15,0.78,b
True,0.01,50,1.0,1.5,5,0.9386,0.9392,0.9386,0.9381,712.47,0.42,b
True,0.01,50,1.0,1.5,10,0.9370,0.9376,0.9370,0.9368,714.32,0.42,b
True,0.01,50,1.5,0.5,5,0.9659,0.9661,0.9659,0.9659,712.09,6.95,b
True,0.01,50,1.5,0.5,10,0.9667,0.9668,0.9667,0.9667,711.88,6.95,b
True,0.01,50,1.5,1.0,5,0.9507,0.9508,0.9507,0.9506,710.92,0.78,b
True,0.01,50,1.5,1.0,10,0.9455,0.9456,0.9455,0.9453,711.66,0.78,b
True,0.01,50,1.5,1.5,5,0.9398,0.9401,0.9398,0.9397,712.65,0.42,b
True,0.01,50,1.5,1.5,10,0.9395,0.9400,0.9395,0.9393,711.49,0.42,b
False,0.01,100,N/A,N/A,N/A,0.9950,0.9950,0.9950,0.9950,97.52,Sem privacidade diferencial,b
True,0.01,100,0.5,0.5,5,0.8902,0.8960,0.8902,0.8882,360.35,9.62,b
True,0.01,100,0.5,0.5,10,0.8797,0.8875,0.8797,0.8751,359.64,9.62,b
True,0.01,100,0.5,1.0,5,0.8830,0.8910,0.8830,0.8796,359.88,1.15,b
True,0.01,100,0.5,1.0,10,0.8875,0.8924,0.8875,0.8849,359.11,1.15,b
True,0.01,100,0.5,1.5,5,0.8662,0.8745,0.8662,0.8630,358.95,0.61,b
True,0.01,100,0.5,1.5,10,0.8694,0.8796,0.8694,0.8653,360.25,0.61,b
True,0.01,100,1.0,0.5,5,0.9514,0.9515,0.9514,0.9513,359.05,9.62,b
True,0.01,100,1.0,0.5,10,0.9433,0.9440,0.9433,0.9430,359.81,9.62,b
True,0.01,100,1.0,1.0,5,0.9499,0.9502,0.9499,0.9497,358.99,1.15,b
True,0.01,100,1.0,1.0,10,0.9386,0.9389,0.9386,0.9383,359.22,1.15,b
True,0.01,100,1.0,1.5,5,0.9407,0.9409,0.9407,0.9405,359.55,0.61,b
True,0.01,100,1.0,1.5,10,0.9459,0.9461,0.9459,0.9458,359.12,0.61,b
True,0.01,100,1.5,0.5,5,0.9614,0.9614,0.9614,0.9614,359.96,9.62,b
True,0.01,100,1.5,0.5,10,0.9635,0.9636,0.9635,0.9635,360.10,9.62,b
True,0.01,100,1.5,1.0,5,0.9512,0.9512,0.9512,0.9511,359.66,1.15,b
True,0.01,100,1.5,1.0,10,0.9550,0.9552,0.9550,0.9550,360.47,1.15,b
True,0.01,100,1.5,1.5,5,0.9424,0.9427,0.9424,0.9423,360.32,0.61,b
True,0.01,100,1.5,1.5,10,0.9487,0.9489,0.9487,0.9485,360.30,0.61,b
False,0.005,25,N/A,N/A,N/A,0.9953,0.9953,0.9953,0.9953,357.88,Sem privacidade diferencial,b
True,0.005,25,0.5,0.5,5,0.9459,0.9463,0.9459,0.9457,1409.43,5.06,b
True,0.005,25,0.5,1.0,5,0.9253,0.9264,0.9253,0.9244,1409.13,0.53,b
True,0.005,25,0.5,1.5,5,0.8893,0.8920,0.8893,0.8879,1409.12,0.29,b
True,0.005,25,1.0,0.5,5,0.9619,0.9621,0.9619,0.9619,1408.77,5.06,b
True,0.005,25,1.0,1.0,5,0.9349,0.9354,0.9349,0.9346,1398.15,0.53,b
True,0.005,25,1.0,1.5,5,0.9083,0.9096,0.9083,0.9073,1448.47,0.29,b
True,0.005,25,1.5,0.5,5,0.9594,0.9596,0.9594,0.9594,1544.18,5.06,b
True,0.005,25,1.5,1.0,5,0.9323,0.9331,0.9323,0.9320,1562.89,0.53,b
True,0.005,25,1.5,1.5,5,0.8919,0.8923,0.8919,0.8910,1591.26,0.29,b
False,0.005,50,N/A,N/A,N/A,0.9954,0.9954,0.9954,0.9954,193.01,Sem privacidade diferencial,b
True,0.005,50,0.5,0.5,5,0.8638,0.8750,0.8638,0.8590,858.37,6.95,b
True,0.005,50,0.5,0.5,10,0.8628,0.8733,0.8628,0.8557,857.59,6.95,b
True,0.005,50,0.5,1.0,5,0.8830,0.8915,0.8830,0.8797,853.46,0.78,b
True,0.005,50,0.5,1.0,10,0.8746,0.8867,0.8746,0.8715,749.33,0.78,b
True,0.005,50,0.5,1.5,5,0.8786,0.8856,0.8786,0.8753,714.69,0.42,b
True,0.005,50,0.5,1.5,10,0.8644,0.8730,0.8644,0.8589,715.24,0.42,b
True,0.005,50,1.0,0.5,5,0.9483,0.9484,0.9483,0.9482,715.85,6.95,b
True,0.005,50,1.0,0.5,10,0.9459,0.9463,0.9459,0.9456,715.11,6.95,b
True,0.005,50,1.0,1.0,5,0.9453,0.9455,0.9453,0.9452,713.52,0.78,b
True,0.005,50,1.0,1.0,10,0.9163,0.9176,0.9163,0.9155,715.02,0.78,b
True,0.005,50,1.0,1.5,5,0.9181,0.9190,0.9181,0.9174,714.81,0.42,b
True,0.005,50,1.0,1.5,10,0.9229,0.9243,0.9229,0.9218,714.15,0.42,b
True,0.005,50,1.5,0.5,5,0.9598,0.9598,0.9598,0.9598,714.21,6.95,b
True,0.005,50,1.5,0.5,10,0.9558,0.9560,0.9558,0.9558,713.26,6.95,b
True,0.005,50,1.5,1.0,5,0.9520,0.9523,0.9520,0.9518,715.20,0.78,b
True,0.005,50,1.5,1.0,10,0.9399,0.9401,0.9399,0.9397,715.54,0.78,b
True,0.005,50,1.5,1.5,5,0.9311,0.9316,0.9311,0.9306,715.33,0.42,b
True,0.005,50,1.5,1.5,10,0.9377,0.9382,0.9377,0.9373,713.69,0.42,b
False,0.005,100,N/A,N/A,N/A,0.9946,0.9946,0.9946,0.9946,99.48,Sem privacidade diferencial,b
True,0.005,100,0.5,0.5,5,0.7752,0.7961,0.7752,0.7576,361.86,9.62,b
True,0.005,100,0.5,0.5,10,0.7932,0.8122,0.7932,0.7819,362.21,9.62,b
True,0.005,100,0.5,1.0,5,0.7564,0.7822,0.7564,0.7327,361.91,1.15,b
True,0.005,100,0.5,1.0,10,0.8068,0.8246,0.8068,0.7977,362.95,1.15,b
True,0.005,100,0.5,1.5,5,0.7766,0.8066,0.7766,0.7588,362.61,0.61,b
True,0.005,100,0.5,1.5,10,0.7890,0.8132,0.7890,0.7697,362.22,0.61,b
True,0.005,100,1.0,0.5,5,0.8727,0.8801,0.8727,0.8692,362.54,9.62,b
True,0.005,100,1.0,0.5,10,0.8970,0.9031,0.8970,0.8947,361.56,9.62,b
True,0.005,100,1.0,1.0,5,0.8632,0.8707,0.8632,0.8579,362.70,1.15,b
True,0.005,100,1.0,1.0,10,0.8686,0.8773,0.8686,0.8646,362.46,1.15,b
True,0.005,100,1.0,1.5,5,0.8865,0.8922,0.8865,0.8835,362.32,0.61,b
True,0.005,100,1.0,1.5,10,0.8859,0.8902,0.8859,0.8828,362.70,0.61,b
True,0.005,100,1.5,0.5,5,0.9296,0.9301,0.9296,0.9292,362.19,9.62,b
True,0.005,100,1.5,0.5,10,0.9353,0.9360,0.9353,0.9350,361.82,9.62,b
True,0.005,100,1.5,1.0,5,0.9381,0.9385,0.9381,0.9378,362.15,1.15,b
True,0.005,100,1.5,1.0,10,0.9346,0.9351,0.9346,0.9343,362.36,1.15,b
True,0.005,100,1.5,1.5,5,0.9138,0.9150,0.9138,0.9131,362.84,0.61,b
True,0.005,100,1.5,1.5,10,0.9169,0.9181,0.9169,0.9159,362.62,0.61,b
False,0.001,25,N/A,N/A,N/A,0.9930,0.9930,0.9930,0.9930,360.39,Sem privacidade diferencial,b
True,0.001,25,0.5,0.5,5,0.7580,0.7859,0.7580,0.7352,1426.81,5.06,b
True,0.001,25,0.5,1.0,5,0.7502,0.7697,0.7502,0.7273,1414.67,0.53,b
True,0.001,25,0.5,1.5,5,0.7637,0.7779,0.7637,0.7499,1415.28,0.29,b
