DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
True,0.001,50,0.5,1.5,10,0.6377,0.7251,0.6377,0.6175,3297.90,0.42,b
True,0.001,50,1.0,0.5,5,0.7448,0.7794,0.7448,0.7111,3300.88,6.95,b
True,0.001,50,1.0,0.5,10,0.7764,0.7924,0.7764,0.7601,3299.72,6.95,b
True,0.001,50,1.0,1.0,5,0.7425,0.7863,0.7425,0.7175,3296.34,0.78,b
True,0.001,50,1.0,1.0,10,0.7371,0.7870,0.7371,0.7082,3302.02,0.78,b
True,0.001,50,1.0,1.5,5,0.7734,0.7899,0.7734,0.7611,3299.12,0.42,b
True,0.001,50,1.0,1.5,10,0.7650,0.7867,0.7650,0.7468,3301.30,0.42,b
True,0.001,50,1.5,0.5,5,0.8163,0.8340,0.8163,0.8064,3299.51,6.95,b
True,0.001,50,1.5,0.5,10,0.8345,0.8449,0.8345,0.8272,3308.71,6.95,b
True,0.001,50,1.5,1.0,5,0.7991,0.8232,0.7991,0.7781,3303.54,0.78,b
True,0.001,50,1.5,1.0,10,0.7764,0.8103,0.7764,0.7582,3315.07,0.78,b
True,0.001,50,1.5,1.5,5,0.8123,0.8296,0.8123,0.8026,3302.38,0.42,b
True,0.001,50,1.5,1.5,10,0.8065,0.8183,0.8065,0.8001,3304.30,0.42,b
False,0.001,100,N/A,N/A,N/A,0.9871,0.9871,0.9871,0.9871,1206.21,Sem privacidade diferencial,b
True,0.001,100,0.5,0.5,5,0.6156,0.6244,0.6156,0.5764,3095.69,9.62,b
True,0.001,100,0.5,0.5,10,0.5034,0.5837,0.5034,0.4598,3337.19,9.62,b
True,0.001,100,0.5,1.0,5,0.6807,0.7269,0.6807,0.6695,3256.97,1.15,b
True,0.001,100,0.5,1.0,10,0.5126,0.5752,0.5126,0.4439,3072.80,1.15,b
True,0.001,100,0.5,1.5,5,0.6111,0.6577,0.6111,0.5726,3076.33,0.61,b
True,0.001,100,0.5,1.5,10,0.5823,0.5894,0.5823,0.5353,3242.66,0.61,b
True,0.001,100,1.0,0.5,5,0.6849,0.7442,0.6849,0.6527,3332.85,9.62,b
True,0.001,100,1.0,0.5,10,0.7047,0.7556,0.7047,0.6852,3092.97,9.62,b
